Key,Timestamp,AEDT_Timestamp,Translation
F7,09:41.1,09:41.1,Brown Gerygone
F7,09:44.9,09:44.9,Brown Gerygone
F7,09:48.6,09:48.6,Brown Gerygone
F7,10:04.4,10:04.4,Brown Gerygone
F7,10:06.6,10:06.6,Brown Gerygone
F7,10:21.0,10:21.0,Brown Gerygone
w,10:33.8,10:33.8,Red-browed Finch
x,10:53.9,10:53.9,Large-billed Scrubwren
F7,11:06.7,11:06.7,Brown Gerygone
F7,11:12.5,11:12.5,Brown Gerygone
x,11:28.6,11:28.6,Large-billed Scrubwren
1,11:50.1,11:50.1,Grey Fantail
x,11:51.5,11:51.5,Large-billed Scrubwren
1,11:58.5,11:58.5,Grey Fantail
1,12:10.7,12:10.7,Grey Fantail
x,12:26.6,12:26.6,Large-billed Scrubwren
x,12:34.4,12:34.4,Large-billed Scrubwren
c,12:37.1,12:37.1,Large-billed Scrubwren
x,12:42.6,12:42.6,Large-billed Scrubwren
1,12:58.9,12:58.9,Grey Fantail
F7,12:59.9,12:59.9,Brown Gerygone
F7,13:01.9,13:01.9,Brown Gerygone
x,13:06.3,13:06.3,Large-billed Scrubwren
x,13:12.4,13:12.4,Large-billed Scrubwren
x,13:14.8,13:14.8,Large-billed Scrubwren
x,13:34.5,13:34.5,Large-billed Scrubwren
x,13:40.0,13:40.0,Large-billed Scrubwren
k,13:49.7,13:49.7,White-throated Treecreeper
x,13:57.7,13:57.7,Large-billed Scrubwren
x,14:00.9,14:00.9,Large-billed Scrubwren
x,14:28.2,14:28.2,Large-billed Scrubwren
x,14:36.9,14:36.9,Large-billed Scrubwren
x,14:42.5,14:42.5,Large-billed Scrubwren
x,14:45.6,14:45.6,Large-billed Scrubwren
F7,15:17.2,15:17.2,Brown Gerygone
